2025-07-19 19:30:30,191: [SHIFT]
2025-07-19 19:30:34,044: --------------Keylogger
2025-07-19 19:30:34,044: [SPACE]
2025-07-19 19:30:35,469: test
2025-07-19 19:30:35,470: [SPACE]
2025-07-19 19:30:38,254: file-----------------------
2025-07-19 19:30:38,254: [ENTER]
2025-07-19 19:30:38,891: [ENTER]
2025-07-19 19:30:39,796: [SHIFT]
2025-07-19 19:30:40,487: This
2025-07-19 19:30:40,488: [SPACE]
2025-07-19 19:30:40,847: is
2025-07-19 19:30:40,848: [SPACE]
2025-07-19 19:30:41,187: a
2025-07-19 19:30:41,187: [SPACE]
2025-07-19 19:30:43,976: test
2025-07-19 19:30:43,978: [SPACE]
2025-07-19 19:30:46,064: file
2025-07-19 19:30:46,064: [SPACE]
2025-07-19 19:30:46,846: to
2025-07-19 19:30:46,846: [SPACE]
2025-07-19 19:30:47,496: log
2025-07-19 19:30:47,521: [SPACE]
2025-07-19 19:30:48,347: keys
2025-07-19 19:30:48,347: [SPACE]
2025-07-19 19:30:49,586: in
2025-07-19 19:30:49,586: [SPACE]
2025-07-19 19:30:53,304: [SHIFT]
2025-07-19 19:30:56,715: key_log.txt
2025-07-19 19:30:56,715: [SPACE]
2025-07-19 19:31:00,501: file
2025-07-19 19:31:00,501: [SPACE]
2025-07-19 19:31:01,131: by
2025-07-19 19:31:01,131: [SPACE]
2025-07-19 19:31:06,208: keylogger.py
2025-07-19 19:31:06,209: [ENTER]
2025-07-19 19:31:06,502: [ENTER]
2025-07-19 19:31:07,105: [SHIFT]
2025-07-19 19:31:07,499: I
2025-07-19 19:31:07,499: [SPACE]
2025-07-19 19:31:08,214: will
2025-07-19 19:31:08,215: [SPACE]
2025-07-19 19:31:09,136: not
2025-07-19 19:31:09,136: [SPACE]
2025-07-19 19:31:09,597: be
2025-07-19 19:31:09,597: [SPACE]
2025-07-19 19:31:10,452: using
2025-07-19 19:31:10,452: [SPACE]
2025-07-19 19:31:11,164: this
2025-07-19 19:31:11,164: [SPACE]
2025-07-19 19:31:14,187: for
2025-07-19 19:31:14,187: [SPACE]
2025-07-19 19:31:16,057: illegal
2025-07-19 19:31:16,058: [SPACE]
2025-07-19 19:31:19,912: [SHIFT]
2025-07-19 19:31:22,622: [SHIFT]
2025-07-19 19:31:22,953: purposses!S
2025-07-19 19:31:22,954: Keylogger stopped (Shift+S pressed).
